pair,x_from_left_mm,y_from_bottom_mm,printed_backing,front
1,18.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
42,18.0,3346.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
43,18.0,3695.2,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
44,18.0,4043.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
45,18.0,4392.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
46,2682.0,398.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
47,2682.0,746.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
48,2682.0,1095.2,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
49,2682.0,1443.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
50,2682.0,1792.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
51,2682.0,2395.2,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
52,2682.0,2998.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
53,2682.0,3346.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
54,2682.0,3695.2,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
55,2682.0,4043.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
56,2682.0,4392.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
57,875.76,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
58,1191.92,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
59,1508.08,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
60,1824.24,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
61,875.76,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
62,1191.92,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
63,1508.08,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
64,1824.24,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
65,591.6,875.76,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
66,591.6,1191.92,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
67,591.6,1508.08,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
68,591.6,1824.24,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
69,591.6,2966.16,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
70,591.6,3282.32,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
71,591.6,3598.48,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
72,591.6,3914.64,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
73,2108.4,875.76,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
74,2108.4,1191.92,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
75,2108.4,1508.08,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
76,2108.4,1824.24,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
77,2108.4,2966.16,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
78,2108.4,3282.32,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
79,2108.4,3598.48,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
80,2108.4,3914.64,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
81,18,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
82,209.2,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
83,400.4,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
84,2682.0,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
85,2299.6,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
86,2490.8,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
87,18,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
88,209.2,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
89,400.4,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
90,2682.0,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
91,2299.6,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
92,2490.8,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
93,18,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
94,209.2,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
95,400.4,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
96,2682.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
97,2299.6,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
98,2490.8,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
99,18,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
100,209.2,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
101,400.4,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
102,2682.0,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
103,2299.6,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
104,2490.8,4198.8,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
105,591.6,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
106,2108.4,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
107,591.6,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
108,2108.4,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
